Device:Vega 20 [Radeon VII] Mem=16.0GB #CUs=60 Freq=1802Mhz  MallocMode=pinned
                   test	       atts	   units	median	mean	stddev	min	max	
         H2D_Timepinned	        2kB	      ms	0.0126	0.0130	0.0012	0.0125	0.0165	
         H2D_Timepinned	        4kB	      ms	0.0162	0.0168	0.0017	0.0160	0.0218	
         H2D_Timepinned	        8kB	      ms	0.0261	0.1318	0.3167	0.0258	1.0819	
         H2D_Timepinned	       16kB	      ms	0.0269	0.0272	0.0010	0.0266	0.0301	
         H2D_Timepinned	       32kB	      ms	0.0281	0.0283	0.0006	0.0278	0.0301	
         H2D_Timepinned	       64kB	      ms	0.0310	0.0314	0.0009	0.0309	0.0341	
         H2D_Timepinned	      128kB	      ms	0.0378	0.0386	0.0017	0.0376	0.0421	
         H2D_Timepinned	      256kB	      ms	0.0538	0.1793	0.3746	0.0526	1.3032	
         H2D_Timepinned	      512kB	      ms	0.0803	0.0820	0.0037	0.0792	0.0917	
         H2D_Timepinned	     1024kB	      ms	0.1326	0.1353	0.0066	0.1318	0.1538	
         H2D_Timepinned	     2048kB	      ms	0.2402	0.2447	0.0122	0.2371	0.2786	
         H2D_Timepinned	     4096kB	      ms	0.6351	0.6245	0.1264	0.4845	0.7722	
         H2D_Timepinned	     8192kB	      ms	6.9070	6.2878	1.8603	0.7078	6.9601	
         H2D_Timepinned	    16384kB	      ms	7.5448	7.5458	0.0615	7.4329	7.6368	
         H2D_Timepinned	    32768kB	      ms	8.7262	9.0592	0.6998	8.6392	10.6435	
         H2D_Timepinned	    65536kB	      ms	11.0851	11.1052	0.0696	11.0301	11.2702	
         H2D_Timepinned	   131072kB	      ms	15.7930	15.8830	0.2733	15.7381	16.6984	
         H2D_Timepinned	   262144kB	      ms	25.1168	25.1297	0.0658	25.0713	25.2982	
         H2D_Timepinned	   524288kB	      ms	43.8282	43.8422	0.0525	43.7718	43.9353	

Note: results marked with (*) had missing values such as
might occur with a mixture of architectural capabilities.
                   test	       atts	   units	median	mean	stddev	min	max	
   D2H_Bandwidth_pinned	     +064By	  GB/sec	0.0000	0.0000	0.0000	0.0000	0.0000	
   D2H_Bandwidth_pinned	     +256By	  GB/sec	0.0000	0.0000	0.0000	0.0000	0.0000	
   D2H_Bandwidth_pinned	     +512By	  GB/sec	0.0000	0.0000	0.0000	0.0000	0.0000	
   D2H_Bandwidth_pinned	        1kB	  GB/sec	0.0300	0.0303	0.0005	0.0299	0.0314	
   D2H_Bandwidth_pinned	        2kB	  GB/sec	0.0366	0.0368	0.0005	0.0362	0.0380	
   D2H_Bandwidth_pinned	        4kB	  GB/sec	0.0407	0.0408	0.0003	0.0404	0.0415	
   D2H_Bandwidth_pinned	        8kB	  GB/sec	0.2967	0.2961	0.0046	0.2874	0.3030	
   D2H_Bandwidth_pinned	       16kB	  GB/sec	0.5682	0.5747	0.0197	0.5587	0.6289	
   D2H_Bandwidth_pinned	       32kB	  GB/sec	1.0582	1.0657	0.0294	1.0417	1.1494	
   D2H_Bandwidth_pinned	       64kB	  GB/sec	1.8678	1.8461	0.1319	1.4719	1.9721	
   D2H_Bandwidth_pinned	      128kB	  GB/sec	2.9189	2.9269	0.0470	2.8728	3.0324	
   D2H_Bandwidth_pinned	      256kB	  GB/sec	4.1247	4.1041	0.0934	3.9649	4.3092	
   D2H_Bandwidth_pinned	      512kB	  GB/sec	5.1373	5.0996	0.1416	4.8881	5.4132	
   D2H_Bandwidth_pinned	     1024kB	  GB/sec	6.0397	5.9643	0.2341	5.5603	6.4342	
   D2H_Bandwidth_pinned	     2048kB	  GB/sec	6.2056	6.2157	0.2583	5.7864	6.5531	
   D2H_Bandwidth_pinned	     4096kB	  GB/sec	5.6403	5.8032	0.7600	4.9881	7.0998	
   D2H_Bandwidth_pinned	     8192kB	  GB/sec	1.2239	2.3574	3.3969	1.2032	12.5479	
   D2H_Bandwidth_pinned	    16384kB	  GB/sec	2.2280	2.2358	0.0260	2.2029	2.2976	
   D2H_Bandwidth_pinned	    32768kB	  GB/sec	3.8877	3.8951	0.0250	3.8491	3.9352	
   D2H_Bandwidth_pinned	    65536kB	  GB/sec	6.1154	5.8411	0.5679	4.5815	6.1566	
   D2H_Bandwidth_pinned	   131072kB	  GB/sec	8.5503	8.5401	0.0437	8.4196	8.5948	
   D2H_Bandwidth_pinned	   262144kB	  GB/sec	10.7230	10.6970	0.1046	10.3973	10.7779	
   D2H_Bandwidth_pinned	   524288kB	  GB/sec	12.2588	12.2166	0.1521	11.7634	12.3035	
        D2H_Time_pinned	     +064By	      ms	0.0112	0.0126	0.0040	0.0107	0.0246	
        D2H_Time_pinned	     +256By	      ms	0.0155	0.0153	0.0005	0.0141	0.0157	
        D2H_Time_pinned	     +512By	      ms	0.0221	0.0220	0.0005	0.0208	0.0227	
        D2H_Time_pinned	        1kB	      ms	0.0333	0.0330	0.0005	0.0318	0.0334	
        D2H_Time_pinned	        2kB	      ms	0.0546	0.0544	0.0008	0.0526	0.0552	
        D2H_Time_pinned	        4kB	      ms	0.0982	0.0981	0.0007	0.0965	0.0990	
        D2H_Time_pinned	        8kB	      ms	0.0270	0.0270	0.0004	0.0264	0.0278	
        D2H_Time_pinned	       16kB	      ms	0.0282	0.0279	0.0009	0.0254	0.0286	
        D2H_Time_pinned	       32kB	      ms	0.0302	0.0300	0.0008	0.0278	0.0307	
        D2H_Time_pinned	       64kB	      ms	0.0348	0.0354	0.0030	0.0330	0.0442	
        D2H_Time_pinned	      128kB	      ms	0.0449	0.0448	0.0007	0.0432	0.0456	
        D2H_Time_pinned	      256kB	      ms	0.0635	0.0639	0.0014	0.0608	0.0661	
        D2H_Time_pinned	      512kB	      ms	0.1020	0.1028	0.0028	0.0968	0.1072	
        D2H_Time_pinned	     1024kB	      ms	0.1735	0.1760	0.0069	0.1629	0.1885	
        D2H_Time_pinned	     2048kB	      ms	0.3379	0.3380	0.0143	0.3200	0.3624	
        D2H_Time_pinned	     4096kB	      ms	0.7460	0.7348	0.0927	0.5907	0.8408	
        D2H_Time_pinned	     8192kB	      ms	6.8534	6.2299	1.8557	0.6685	6.9714	
        D2H_Time_pinned	    16384kB	      ms	7.5299	7.5048	0.0862	7.3019	7.6160	
        D2H_Time_pinned	    32768kB	      ms	8.6307	8.6148	0.0554	8.5265	8.7174	
        D2H_Time_pinned	    65536kB	      ms	10.9737	11.6181	1.3297	10.9002	14.6475	
        D2H_Time_pinned	   131072kB	      ms	15.6973	15.7165	0.0812	15.6162	15.9409	
        D2H_Time_pinned	   262144kB	      ms	25.0336	25.0969	0.2508	24.9060	25.8179	
        D2H_Time_pinned	   524288kB	      ms	43.7947	43.9531	0.5656	43.6356	45.6389	

Note: results marked with (*) had missing values such as
might occur with a mixture of architectural capabilities.
                   test	       atts	   units	median	mean	stddev	min	max	
 Bidir_Bandwidth_pinned	     +064By	  GB/sec	0.0009	0.0013	0.0008	0.0000	0.0031	
 Bidir_Bandwidth_pinned	     +256By	  GB/sec	0.0052	0.0059	0.0032	0.0024	0.0139	
 Bidir_Bandwidth_pinned	     +512By	  GB/sec	0.0087	0.0117	0.0059	0.0068	0.0260	
 Bidir_Bandwidth_pinned	        1kB	  GB/sec	0.0147	0.0216	0.0123	0.0119	0.0527	
 Bidir_Bandwidth_pinned	        2kB	  GB/sec	0.0382	0.0507	0.0268	0.0277	0.1020	
 Bidir_Bandwidth_pinned	        4kB	  GB/sec	0.0582	0.0877	0.0525	0.0531	0.2296	
 Bidir_Bandwidth_pinned	        8kB	  GB/sec	0.1601	0.1857	0.0876	0.1125	0.4063	
 Bidir_Bandwidth_pinned	       16kB	  GB/sec	0.2407	0.3009	0.1049	0.2048	0.5032	
 Bidir_Bandwidth_pinned	       32kB	  GB/sec	0.4790	0.6025	0.1982	0.4307	0.9122	
 Bidir_Bandwidth_pinned	       64kB	  GB/sec	1.3651	1.4923	0.7606	0.8376	3.3574	
 Bidir_Bandwidth_pinned	      128kB	  GB/sec	2.5221	2.7591	1.1683	1.4347	5.1522	
 Bidir_Bandwidth_pinned	      256kB	  GB/sec	3.2768	3.5954	1.0273	2.1544	5.8619	
 Bidir_Bandwidth_pinned	      512kB	  GB/sec	6.9417	8.0542	2.6340	5.5258	13.0550	
 Bidir_Bandwidth_pinned	     1024kB	  GB/sec	9.6699	10.9505	1.9761	8.9104	14.5152	
 Bidir_Bandwidth_pinned	     2048kB	  GB/sec	14.3059	15.2197	1.7085	13.5967	18.0416	
 Bidir_Bandwidth_pinned	     4096kB	  GB/sec	18.6457	19.4292	1.5747	17.3836	22.1032	
